股票代码,统计日期,营业总收入,营业收入,营业总成本,营业成本,税金及附加,销售费用,管理费用,财务费用,资产减值损失,投资收益,营业利润,营业外收入,营业外支出,利润总额,所得税,净利润,归属于母公司所有者的净利润,综合收益总额,归属于母公司普通股东综合收益总额
300131,2016/3/31,541648211.1,541648211.1,528920092.2,480243798.8,358121.58,23325356.84,20492702.76,4525038.02,-24925.81,59232676.04,71960794.9,526810.02,506146.45,71981458.47,3875106.02,68106352.45,68958787.63,68171543.99,68990186.25
300131,2016/6/30,1442159892,1442159892,1392074198,1298511733,985333.67,41530757.09,38904465.16,7148826.76,4993082.27,60000585.94,110086279.5,797882.2,43349.98,110840811.7,9898482.28,100942329.4,100685873.7,100794181,100648375.1
300131,2016/9/30,2921045279,2921045279,2809687392,2663353704,1491031.53,64498542.11,61178325.28,13045448.25,6120340.62,61218929.87,172576816.9,1105725.95,854361.97,172828180.9,21887731.85,150940449,146416893.2,150917748.5,146451280.5
300131,2016/12/31,4222057089,4222057089,4045949269,3804265449,3542925.6,99764255.45,88800883.27,22144982.21,27430773.64,63477317.49,239585137.3,1871662.16,372373.27,241084426.2,30917868.35,210166557.9,201430175.5,211077361.5,201994706.8
300184,2015/9/30,700693449.6,700693449.6,668992015.5,590164459.5,1347437.29,31564586.09,32720064.3,9738334.6,3457133.67,-1859896.67,29841537.43,6827759.32,104.41,36669192.34,5582610.08,31086582.26,26308627.4,36005383.78,31250161.76
300184,2015/12/31,1020380970,1020380970,977344398.3,864348171.9,1932470.92,44619631.11,48704963.14,13686810.34,4052350.95,-1859896.67,41176674.93,7287865.36,10732.88,48453807.41,6653646.31,41800161.1,37022206.24,50238951.93,45483729.92
300184,2016/9/30,1028986601,1028986601,990419313.7,904740048.6,1156345.5,30897263.66,35232462.22,12884065.41,5509128.29,733929.75,39301217.57,2130150.37,3827.57,41427540.37,5180293.93,36247246.44,36247246.44,41562337.83,41562337.83
300184,2016/12/31,1592736868,1592736868,1542690669,1407970894,4636474.9,47831299.97,55672328.58,16694831.28,9884840.22,1049218.91,51095417.28,6583752.95,517265.32,57161904.91,9812865.16,47349039.75,47349039.75,59788550.75,59788550.75
300197,2016/3/31,398434063.2,398434063.2,438727662,279608366.1,9720345.56,694087.04,100979738.8,38942267.97,8782856.59,36160501.67,-4133097.17,232296.7,19697.83,-3920498.3,-132770.17,-3787728.13,-4411552.99,-3787728.13,-4411552.99
300197,2016/12/31,4573262879,4573262879,4141446872,3348217714,33152536.87,15537998.66,530786358,165971186.3,47781078.21,134731432.5,566547439.5,44525205.66,6442551.23,604630094,75640348.94,528989745,522065560.7,528989745,522065560.7
